"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-07","0.17","87","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-08","0.00","77","57"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-09","0.00","81","60"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-10","0.00","79","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-11","0.00","84","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-12","0.22","85","64"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-13","0.00","92","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-14","0.00","88","60"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-15","0.00","81","56"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-16","0.00","79","62"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-17","0.00","84","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-18","0.14","90","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-19","0.00","93","75"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-20","0.00","98","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-21","0.00","90","76"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-22","0.26","96","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-23","0.36","89","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-24","0.00","84","64"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-25","0.00","85","68"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-26","0.40","91","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-27","0.01","87","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-28","0.00","91","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-29","0.00","79","52"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-30","0.00","82","60"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-01","0.00","90","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-02","0.00","94","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-03","1.79","89","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-04","0.00","88","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-05","0.02","92","74"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-06","2.97","84","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-07","0.00","83","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-08","0.00","85","60"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-09","0.00","86","66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-10","0.00","85","76"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-11","0.10","88","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-12","0.43","89","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-13","0.00","89","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-14","0.00","90","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-15","0.07","86","74"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-16","0.00","88","77"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-17","0.70","91","65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-18","0.00","85","65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-19","0.00","85","62"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-20","0.00","87","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-21","0.00","90","75"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-22","1.35","85","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-23","0.34","85","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-24","0.18","85","74"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-25","0.58","89","74"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-26","0.00","89","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-27","0.00","90","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-28","0.87","88","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-29","0.00","90","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-30","0.05","88","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-07-31","0.00",,
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-01","0.00","92","75"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-02","0.01","95","74"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-03","0.22","95","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-04","0.00","92","73"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-05","0.00","87","62"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-06","0.00","86","65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-07","0.02","82","66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-08","0.00","88","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-09","0.00","84","65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-10","0.00","88","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-11","0.03","79","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-12","0.00","80","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-13","0.00","82","65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-14","0.33","87","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-15","0.00","85","73"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-16","0.00","82","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-17","0.66","85","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-18","0.25","87","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-19","0.17","85","68"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-20","0.00","89","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-21","0.00","90","73"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-22","0.00","90","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-23","0.00","81","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-24","0.49","90","73"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-25","0.01","84","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-26","0.04","78","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-27","0.00","86","66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-28","0.00","85","66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-29","0.00","85","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-30","0.00","92","72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-08-31","0.00","90","74"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-01","0.07","94","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-02","0.00",,"65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-03","0.00",,"66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-04","0.00",,"75"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-05","0.00",,"72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-06","0.00",,"72"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-07","0.00",,"62"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-08","0.00","80","57"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-09","0.00","81","59"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-10","0.00","83","64"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-11","0.00","87","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-12","1.48","85","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-13","0.00","80","60"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-14","0.00","84","59"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-15","0.00","83","60"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-16","0.00","85","66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-17","0.00","85","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-18","0.00","86","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-19","0.00","89","74"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-20","0.00","85","59"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-21","0.00","81","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-22","0.00","84","65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-23","0.00","88","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-24","0.00","86","66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-25","0.00","85","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-26","0.01","86","68"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-27","0.00","85","69"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-28","0.83","88","65"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-29","1.36","66","46"
"USC00310674","BELHAVEN 1 SE, NC US","1970-09-30","0.00","68","44"
"USC00310674","BELHAVEN 1 SE, NC US","1970-10-01","0.00","74","47"
"USC00310674","BELHAVEN 1 SE, NC US","1970-10-02","0.00","76","48"
"USC00310674","BELHAVEN 1 SE, NC US","1970-10-03","0.00","74","51"
